"City","City_latitude","City_longitude","State","Airport","Airport_latitude","Airport_longitude","iata_code"
"Yandrapalle","16.0472","79.3073","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Peruru","14.3503","77.3497","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Chinna Ganjam","15.7","80.25","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Narapala","14.7206","77.8106","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Varidhanam","16.5576","81.8303","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Somandepalle","14.0078","77.6086","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Gatada","18.4144","83.5041","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Jaggampeta","17.1833","82.05","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kottakota","17.7513","82.7004","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Sompeta","18.93","84.6","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Tadikonda","16.4167","80.4542","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Sirvel","15.321","78.5344","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Asakapalle","17.7364","83.3","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Tummalapenta","14.8997","80.0687","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kottapalle","17.2918","81.8939","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kotta Kalidindi","16.5032","81.2877","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Lakshmaneswaram","16.4082","81.6867","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Veldurti","15.5667","77.9167","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Vissannapeta","16.9398","80.7828","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Pulla","16.806","81.3241","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Inkollu","15.83","80.2","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Vayalpad","13.65","78.6333","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Gunjapalle","14.3845","77.9495","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Yerrapalem","16.15","80.03","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Padugupadu","14.4885","79.9923","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Tadigadapa","16.4713","80.697","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Gudipallipadu","14.4588","80.0482","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Challapalle","16.1167","80.9333","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Pernamitta","15.5333","80","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Srikurmam","18.2708","84.0044","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
